         time;          counts;events
 42.101275263;         2447275;dTLB-loads-misses                                           
 42.101275263;            7379;page-faults                                                 
 43.102825212;        50208175;cache-misses                                                
 43.102825212;         3437836;dTLB-loads-misses                                           
 43.102825212;            8678;page-faults                                                 
 44.103706592;        43199785;cache-misses                                                
 44.103706592;         3103005;dTLB-loads-misses                                           
 44.103706592;           10112;page-faults                                                 
 45.105261152;        12767666;cache-misses                                                
 45.105261152;         1576924;dTLB-loads-misses                                           
 45.105261152;            3169;page-faults                                                 
 46.106754656;         9012408;cache-misses                                                
 46.106754656;         1346377;dTLB-loads-misses                                           
 46.106754656;            2004;page-faults                                                 
 47.107669634;        30645265;cache-misses                                                
 47.107669634;         2681462;dTLB-loads-misses                                           
 47.107669634;            6102;page-faults                                                 
 48.109144483;        19758275;cache-misses                                                
 48.109144483;         1976276;dTLB-loads-misses                                           
 48.109144483;            7428;page-faults                                                 
 49.110640414;        64617943;cache-misses                                                
 49.110640414;         3803148;dTLB-loads-misses                                           
 49.110640414;           33179;page-faults                                                 
 50.111674926;        66805812;cache-misses                                                
 50.111674926;         3823417;dTLB-loads-misses                                           
 50.111674926;           24197;page-faults                                                 
 51.113217404;        60300733;cache-misses                                                
 51.113217404;         3708459;dTLB-loads-misses                                           
 51.113217404;           15055;page-faults                                                 
 52.122461964;        57288843;cache-misses                                                
 52.122461964;         3566475;dTLB-loads-misses                                           
 52.122461964;           18021;page-faults                                                 
 53.123970006;         9262498;cache-misses                                                
 53.123970006;         1434083;dTLB-loads-misses                                           
 53.123970006;            2180;page-faults                                                 
 54.125538511;         9186210;cache-misses                                                
 54.125538511;         1553351;dTLB-loads-misses                                           
 54.125538511;            1966;page-faults                                                 
 55.127095741;         7850713;cache-misses                                                
 55.127095741;         2265561;dTLB-loads-misses                                           
 55.127095741;            2306;page-faults                                                 
 56.128579803;         7885773;cache-misses                                                
 56.128579803;         1730178;dTLB-loads-misses                                           
 56.128579803;            4281;page-faults                                                 
 57.129988903;        19682959;cache-misses                                                
 57.129988903;         2172581;dTLB-loads-misses                                           
 57.129988903;            3099;page-faults                                                 
 58.131461062;        55085032;cache-misses                                                
 58.131461062;         3247488;dTLB-loads-misses                                           
 58.131461062;           10566;page-faults                                                 
 59.133055395;         4472061;cache-misses                                                
 59.133055395;         1120921;dTLB-loads-misses                                           
 59.133055395;            2811;page-faults                                                 
 60.134521381;         6019923;cache-misses                                                
 60.134521381;         1304245;dTLB-loads-misses                                           
 60.134521381;            2154;page-faults                                                 
 61.135668689;         9297156;cache-misses                                                
 61.135668689;         1444005;dTLB-loads-misses                                           
 61.135668689;            1467;page-faults                                                 
 62.137190941;        48354088;cache-misses                                                
 62.137190941;         3055566;dTLB-loads-misses                                           
 62.137190941;            9006;page-faults                                                 
 63.137930269;        27495288;cache-misses                                                
 63.137930269;         2382831;dTLB-loads-misses                                           
 63.137930269;            3804;page-faults                                                 
 64.139483484;        15705031;cache-misses                                                
 64.139483484;         1857567;dTLB-loads-misses                                           
 64.139483484;            3847;page-faults                                                 
 65.141607365;         9368557;cache-misses                                                
 65.141607365;         1437263;dTLB-loads-misses                                           
 65.141607365;             588;page-faults                                                 
 66.143048530;        51324392;cache-misses                                                
 66.143048530;         3563824;dTLB-loads-misses                                           
 66.143048530;           18183;page-faults                                                 
 67.143670832;        41789384;cache-misses                                                
 67.143670832;         3095718;dTLB-loads-misses                                           
 67.143670832;            4470;page-faults                                                 
 68.145241436;        49164988;cache-misses                                                
 68.145241436;         3261800;dTLB-loads-misses                                           
 68.145241436;            7213;page-faults                                                 
 69.146800579;        22902128;cache-misses                                                
 69.146800579;         2078369;dTLB-loads-misses                                           
 69.146800579;            5293;page-faults                                                 
 70.147699732;        30030894;cache-misses                                                
 70.147699732;         2310252;dTLB-loads-misses                                           
 70.147699732;            6259;page-faults                                                 
 71.149151497;        25610551;cache-misses                                                
 71.149151497;         2418706;dTLB-loads-misses                                           
 71.149151497;            4517;page-faults                                                 
 72.150589007;        61926071;cache-misses                                                
 72.150589007;         3996685;dTLB-loads-misses                                           
 72.150589007;           12833;page-faults                                                 
 73.151704720;        33978447;cache-misses                                                
 73.151704720;         2367240;dTLB-loads-misses                                           
 73.151704720;            5840;page-faults                                                 
 74.153145921;        11748260;cache-misses                                                
 74.153145921;         1462934;dTLB-loads-misses                                           
 74.153145921;            3827;page-faults                                                 
 75.154720028;        38071418;cache-misses                                                
 75.154720028;         2616724;dTLB-loads-misses                                           
 75.154720028;           10521;page-faults                                                 
 76.155677294;        77736894;cache-misses                                                
 76.155677294;         4391275;dTLB-loads-misses                                           
 76.155677294;           31121;page-faults                                                 
 77.157365476;        92849159;cache-misses                                                
 77.157365476;         4609195;dTLB-loads-misses                                           
 77.157365476;            8576;page-faults                                                 
 78.162975253;        78551488;cache-misses                                                
 78.162975253;         4037001;dTLB-loads-misses                                           
 78.162975253;           14992;page-faults                                                 
 79.163679755;        77603657;cache-misses                                                
 79.163679755;         4069407;dTLB-loads-misses                                           
 79.163679755;            6736;page-faults                                                 
 80.165163726;        49518728;cache-misses                                                
 80.165163726;         3130715;dTLB-loads-misses                                           
 80.165163726;            4504;page-faults                                                 
 81.166657301;        35714706;cache-misses                                                
 81.166657301;         3031072;dTLB-loads-misses                                           
 81.166657301;            2174;page-faults                                                 
 82.168959248;        23503669;cache-misses                                                
 82.168959248;         2150025;dTLB-loads-misses                                           
